"geneid","betahat","rawp"
"1","ENSG00000000003.14",-2.58996280561958,0.00470315136976985
"2","ENSG00000000419.12",-0.065160742183156,0.599351865317727
"3","ENSG00000000457.13",0.0777594242110683,0.660220633471528
"4","ENSG00000000460.16",0.0951384971505912,0.516096273810708
"6","ENSG00000000971.15",1.90607746313773,0.00375353733193803
"7","ENSG00000001036.13",0.265400238166505,0.200016999947614
"8","ENSG00000001084.10",-0.104800691009165,0.487662513947854
"9","ENSG00000001167.14",-0.17800869108164,0.311165372300095
"10","ENSG00000001460.17",-0.405063918299894,0.199675818328304
"11","ENSG00000001461.16",-0.60286266502483,0.00309512272476327
"12","ENSG00000001497.16",-0.210102016212904,0.275585909643697
"13","ENSG00000001561.6",0.0933801097507077,0.779455952947577
"14","ENSG00000001617.11",1.13391818763209,0.152731279402796
"15","ENSG00000001629.9",-0.380879346793462,0.0520502482582068
"16","ENSG00000001630.15",0.157846661430343,0.552114632576289
"17","ENSG00000001631.15",-0.240737703734485,0.0955809123909219
"18","ENSG00000002016.17",-0.172317854292852,0.288315451465376
"19","ENSG00000002079.12",0.817469475020366,0.14282446168646
"20","ENSG00000002330.13",0.322284210620114,0.05551150413263
"21","ENSG00000002549.12",1.23604306978925,0.0139121765959039
"22","ENSG00000002586.18",0.00524487668494889,0.975967593988776
"23","ENSG00000002587.9",-0.944937180586321,0.101220673936664
"24","ENSG00000002726.20",-0.422804045604311,0.752979723481391
"25","ENSG00000002745.12",-0.99081066301346,0.176297102301807
"26","ENSG00000002746.14",0.903241943352079,0.119705550028875
"27","ENSG00000002822.15",-0.298465842138702,0.149880911037791
"28","ENSG00000002834.17",0.289175911895916,0.0427879204234258
"30","ENSG00000002933.7",0.293896473200184,0.640906832996436
"31","ENSG00000003056.7",-0.223021043916591,0.0557713983943471
"32","ENSG00000003096.13",-2.71019679198665,0.00288608804551194
"33","ENSG00000003137.8",-0.592156449006428,0.657163127173369
"34","ENSG00000003147.17",0.66516015013389,0.0232030174725167
"35","ENSG00000003249.13",-0.27070617372965,0.590178284242662
"36","ENSG00000003393.14",-0.250748663567949,0.107900502298884
"37","ENSG00000003400.14",0.359679338097805,0.0959329081109179
"38","ENSG00000003402.19",0.744562356091823,0.00637252872004963
"39","ENSG00000003436.14",0.37336100524808,0.54294624844781
"40","ENSG00000003509.15",0.00901835593965549,0.947841956694824
"41","ENSG00000003756.16",0.0663444357129072,0.628258770855734
"42","ENSG00000003987.13",-0.40391660790864,0.176349401655484
"43","ENSG00000004059.10",0.40170563425493,0.011802598039389
"44","ENSG00000004139.13",-0.37657812260339,0.0434807378048452
"45","ENSG00000004142.11",0.110294439036006,0.335637887618991
"46","ENSG00000004399.12",0.114023022834256,0.705123124881039
"47","ENSG00000004455.16",-0.0796988865978168,0.475343322262262
"48","ENSG00000004468.12",-0.23792444822652,0.408393858484844
"49","ENSG00000004478.7",-0.408610851922189,0.117116724417195
"50","ENSG00000004487.15",-0.377981775303781,0.0248771226087068
"51","ENSG00000004534.14",0.0994899753685466,0.524419336938929
"52","ENSG00000004660.14",0.559091385235194,0.0423871709182153
"53","ENSG00000004700.15",-0.22525882581404,0.0833675554550945
"54","ENSG00000004766.15",-0.474303064937572,0.00710514588376667
"55","ENSG00000004776.11",-1.12594705065068,0.223091636868938
"56","ENSG00000004777.18",0.173897696402042,0.5520939221589
"57","ENSG00000004779.9",0.036548879994914,0.790985783178449
"58","ENSG00000004799.7",0.759050612269847,0.0191857551634204
"59","ENSG00000004809.13",0.972344941852815,0.0505142467137187
"60","ENSG00000004838.13",0.139005787856399,0.607337691016047
"61","ENSG00000004846.16",1.20119546541576,0.0905108484540427
"62","ENSG00000004864.13",-0.0502318519087764,0.749819294491749
"63","ENSG00000004866.19",0.0696254308641498,0.697304611617796
"64","ENSG00000004897.11",0.0176528841868762,0.894272779437256
"65","ENSG00000004939.13",-0.336380917704716,0.486711633201032
"66","ENSG00000004961.14",0.185907264338914,0.151309466634399
"67","ENSG00000004975.11",-0.271481315062691,0.0677629695417795
"68","ENSG00000005001.9",0.00351157412746328,0.996359819378986
"69","ENSG00000005007.12",0.130387830318002,0.309751910707536
"70","ENSG00000005020.12",0.674765790059704,0.037048419900339
"71","ENSG00000005022.5",-0.136961221274498,0.253807700285166
